dataset,result_file,method,model,variant,top_m,filing_type,n_queries,accuracy_at_1,hit_at_5,mrr_at_5,document_accuracy_at_1,avg_latency_seconds,avg_top1_latency_seconds,avg_top5_latency_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_top1_input_tokens,avg_top1_output_tokens,avg_top1_total_tokens,avg_top5_input_tokens,avg_top5_output_tokens,avg_top5_total_tokens,successful_rows,accuracy_at_1_pct,hit_at_5_pct,mrr_at_5_pct,document_accuracy_at_1_pct
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_7_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,7.0,8-K,9,0.3333333333333333,0.8888888888888888,0.574074074074074,0.8888888888888888,0.0003333333333333333,0.0003333333333333333,0.0003333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,33.33333333333333,88.88888888888889,57.4074074074074,88.88888888888889
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_7_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,7.0,Earnings Report,12,0.16666666666666666,0.4166666666666667,0.2569444444444445,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,16.666666666666664,41.66666666666667,25.694444444444446,75.0
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,node,10.0,10-K,78,0.24358974358974358,0.47435897435897434,0.32756410256410257,0.8333333333333334,0.00014102564102564101,0.00014102564102564101,0.00014102564102564101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,24.358974358974358,47.43589743589743,32.756410256410255,83.33333333333334
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,node,10.0,10-Q,12,0.16666666666666666,0.25,0.19444444444444442,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,16.666666666666664,25.0,19.444444444444443,66.66666666666666
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,node,10.0,8-K,9,0.3333333333333333,0.6666666666666666,0.43333333333333335,0.8888888888888888,0.00022222222222222223,0.00022222222222222223,0.00022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,33.33333333333333,66.66666666666666,43.333333333333336,88.88888888888889
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,node,10.0,Earnings Report,12,0.08333333333333333,0.4166666666666667,0.18333333333333335,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,8.333333333333332,41.66666666666667,18.333333333333336,66.66666666666666
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,node,5.0,10-K,78,0.21794871794871795,0.44871794871794873,0.3019230769230769,0.8333333333333334,0.0001153846153846154,0.0001153846153846154,0.0001153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,21.794871794871796,44.871794871794876,30.19230769230769,83.33333333333334
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,node,5.0,10-Q,12,0.16666666666666666,0.25,0.19444444444444442,0.6666666666666666,8.333333333333333e-05,8.333333333333333e-05,8.333333333333333e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,16.666666666666664,25.0,19.444444444444443,66.66666666666666
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,node,5.0,8-K,9,0.3333333333333333,0.7777777777777778,0.4555555555555555,0.8888888888888888,0.00011111111111111112,0.00011111111111111112,0.00011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,33.33333333333333,77.77777777777779,45.55555555555555,88.88888888888889
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,node,5.0,Earnings Report,12,0.08333333333333333,0.4166666666666667,0.18333333333333335,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,8.333333333333332,41.66666666666667,18.333333333333336,66.66666666666666
