dataset,result_file,method,model,variant,top_m,bank,n_queries,accuracy_at_1,hit_at_5,mrr_at_5,document_accuracy_at_1,avg_latency_seconds,avg_top1_latency_seconds,avg_top5_latency_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_top1_input_tokens,avg_top1_output_tokens,avg_top1_total_tokens,avg_top5_input_tokens,avg_top5_output_tokens,avg_top5_total_tokens,successful_rows,accuracy_at_1_pct,hit_at_5_pct,mrr_at_5_pct,document_accuracy_at_1_pct
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,Santander,31,0.1935483870967742,0.22580645161290322,0.2,0.967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,19.35483870967742,22.58064516129032,20.0,96.7741935483871
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,Societe Generale,15,0.7333333333333333,0.9333333333333333,0.8222222222222223,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,73.33333333333333,93.33333333333333,82.22222222222223,100.0
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,Swedbank,85,0.5058823529411764,0.788235294117647,0.616078431372549,1.0,0.00010588235294117649,0.00010588235294117649,0.00010588235294117649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,50.588235294117645,78.82352941176471,61.6078431372549,100.0
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,UniCredit,37,0.43243243243243246,0.5945945945945946,0.4954954954954955,1.0,0.00016216216216216215,0.00016216216216216215,0.00016216216216216215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,43.24324324324324,59.45945945945946,49.549549549549546,100.0
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,5.0,ABN Amro,53,0.3584905660377358,0.5094339622641509,0.42610062893081757,1.0,7.547169811320755e-05,7.547169811320755e-05,7.547169811320755e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,35.84905660377358,50.943396226415096,42.61006289308176,100.0
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,5.0,BBVA,3,0.6666666666666666,1.0,0.8333333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,66.66666666666666,100.0,83.33333333333334,100.0
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,5.0,BNP Paribas,13,0.8461538461538461,0.9230769230769231,0.8717948717948718,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,84.61538461538461,92.3076923076923,87.17948717948718,100.0
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,5.0,Banca Monte dei Paschi di Siena,78,0.1794871794871795,0.34615384615384615,0.24764957264957266,1.0,2.5641025641025643e-05,2.5641025641025643e-05,2.5641025641025643e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,17.94871794871795,34.61538461538461,24.764957264957268,100.0
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,5.0,Banque Postale,95,0.2,0.29473684210526313,0.24298245614035086,0.9894736842105263,0.00010526315789473685,0.00010526315789473685,0.00010526315789473685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,20.0,29.47368421052631,24.298245614035086,98.94736842105263
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,5.0,Belfius,33,0.15151515151515152,0.30303030303030304,0.21717171717171718,1.0,6.0606060606060605e-05,6.0606060606060605e-05,6.0606060606060605e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,15.151515151515152,30.303030303030305,21.71717171717172,100.0
